Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link,
S105759605,nfl,12/28/2014,NFL Salary Cap 60k Sun Dec 28th (4pm Only),$60k,80.44,,3,3,3 player league,25,0,https://www.fanduel.com/entry/AQYEMGSGN,
S101272168,nfl,12/21/2014,NFL Salary Cap 60k Sun Dec 21st (Primetime),$60k,96.84,,72,100,Tournament,10,0,https://www.fanduel.com/entry/CODGOYYQO,
S101269345,nfl,12/21/2014,NFL Salary Cap 60k Sun Dec 21st (Primetime),$60k,96.84,,3,3,3 player league,25,0,https://www.fanduel.com/entry/BIOZBFUIW,
S98697242,nfl,12/20/2014,NFL Salary Cap 60k Sat Dec 20th (Sat Only),$60k,81.86,,3,3,3 player league,25,0,https://www.fanduel.com/entry/CZXNTYDZP,
S96312389,nfl,12/15/2014,NFL Salary Cap 60k Mon Dec 15th (Mon-Thu),$60k,91.7,,3,3,3 player league,25,0,https://www.fanduel.com/entry/DXZDVUCPU,
S95498625,nfl,12/14/2014,Yeah Buddy,$60k,143.58,,1,3,3 player league,25,67.5,https://www.fanduel.com/entry/BLGWGZVPE,
S93889889,nfl,12/14/2014,NFL Head-to-head (1pm Only),$60k,106.2,74.94,1,2,grad14,25,45,https://www.fanduel.com/entry/DKPPVNWFM,
S93537062,nfl,12/14/2014,NFL tournament,$60k,,,0,,Cancelled,25,0,https://www.fanduel.com/entry/DDQVQDTSM, voided
S92901027,nba,12/10/2014,NBA Salary Cap 60k Wed Dec 10th (Late Night),$60k,196.9,,18,20,20 player league,5,0,https://www.fanduel.com/entry/AOUXHTGZE,
S92900522,nba,12/10/2014,NBA 50/50 League (Late Night),$60k,196.9,,71,80,Tournament,1,0,https://www.fanduel.com/entry/APWSHJQSC,
S92830663,nfl,12/14/2014,NFL Salary Cap 60k Sun Dec 14th (Day Only),$60k,84.62,,3,3,3 player league,10,0,https://www.fanduel.com/entry/BEICSGGYX,
S91693309,nfl,12/14/2014,NFL Salary Cap 60k Sun Dec 14th (Day Only),$60k,84.62,,78,100,Tournament,10,0,https://www.fanduel.com/entry/EACULVCTK,
S90762409,nfl,12/7/2014,NFL Head-to-head (Primetime),$60k,97.8,84.86,1,2,bjbj,25,45,https://www.fanduel.com/entry/AQKQQZRYS,
S90433075,nfl,12/7/2014,NFL Head-to-head (1pm Only),$60k,70.36,85.16,2,2,grad14,25,0,https://www.fanduel.com/entry/DCBDRTPTZ,
S90378843,nfl,12/7/2014,NFL Salary Cap 60k Sun Dec 7th (1pm Only),$60k,70.36,,95,100,Tournament,10,0,https://www.fanduel.com/entry/DPYQCXLZG,
S90375712,nfl,12/7/2014,NFL 50 player league (1pm Only),$60k,,,0,,Cancelled,10,0,https://www.fanduel.com/entry/ERFSAWPCU, voided
S87614996,nfl,12/7/2014,$500K Sun NFL Kickoff,$60k,64.2,,56061,57471,Tournament,10,0,https://www.fanduel.com/entry/FGSXIYFBQ,
S87610220,nfl,12/7/2014,$1800 Sun NFL Triple Up ($25),$60k,102.1,,59,80,Tournament,25,0,https://www.fanduel.com/entry/DLRKSWOTI,
S85465880,nfl,11/30/2014,NFL Salary Cap 60k Sun Nov 30th (Late),$60k,88.06,,15,20,20 player league,10,0,https://www.fanduel.com/entry/FFDETQBKH,
S85465008,nfl,11/30/2014,NFL 50/50 League (Late),$60k,,,1,9,10 player league,10,0,https://www.fanduel.com/entry/CBVWSDHUD, endedunmatched
S83045977,nfl,11/30/2014,$1800 Sun NFL Triple Up ($25),$60k,166.06,,25,80,Tournament,25,0,https://www.fanduel.com/entry/DXLFJOYCQ,
S82439895,nfl,11/27/2014,$1800 Thu NFL Triple Up ($25_ Thursday Only),$60k,108.48,,34,80,Tournament,25,0,https://www.fanduel.com/entry/BFJWWUNON,
S81523496,nfl,11/27/2014,Thanksgiving Day Cheddar #2,$60k,108.48,,3,6,6 player league,25,0,https://www.fanduel.com/entry/FBJVDYLTJ,
S81221922,nfl,11/27/2014,NFL 15 player league (Thursday Only),$60k,,,0,,Cancelled,0,0,https://www.fanduel.com/entry/FAHZPZFJC, voided
S80352342,nfl,11/24/2014,NFL Salary Cap 60k Mon Nov 24th (Monday Only),$60k,99.54,,8,10,10 player league,25,0,https://www.fanduel.com/entry/CRJALPSBD,
S79441305,nfl,11/23/2014,Beginner's Only NFL Sun and Mon-top 2 win prizes,$60k,123.84,,3,7,7 player league,25,0,https://www.fanduel.com/entry/BNYIIFMTN,
S79342950,nfl,11/23/2014,$5K Sun NFL Mini Bomb #2,$60k,142.74,,25,229,Tournament,25,60,https://www.fanduel.com/entry/CTMQUEVBO,
S78953085,nfl,11/23/2014,NFL Salary Cap 60k Sun Nov 23rd (1pm Only),$60k,101.02,,7,10,10 player league,25,0,https://www.fanduel.com/entry/DPKRWSXOC,
S78947760,nfl,11/23/2014,NFL 10 player league (Day Only),$60k,,,0,,Cancelled,25,0,https://www.fanduel.com/entry/CJWKBGKDE, voided
S78942272,nfl,11/23/2014,4th and Nebraska,$60k,124.04,,7,20,20 player league,10,0,https://www.fanduel.com/entry/ERTNJAYGP,
